video,embryo,t,t_next,shift_um,dz,dy,dx,gt_links,gt_median_shift_um,gt_dz,heldout
6bba_337b1b3a,6bba,0,1,5.2,-0.2,4.9,1.8,0,,,False
6bba_337b1b3a,6bba,5,6,5.2,-0.5,4.5,2.5,0,,,False
6bba_af149c94,6bba,8,9,5.2,5.2,-0.0,-0.3,13,4.9,4.9,False
6bba_b693381b,6bba,40,41,5.2,0.1,-2.3,-4.6,13,5.3,1.6,False
6bba_cdcfe533,6bba,3,4,5.2,-0.2,5.1,0.2,0,,,False
6bba_cdcfe533,6bba,12,13,5.2,-0.0,5.2,0.2,0,,,False
6bba_d3da753b,6bba,12,13,5.2,-0.4,-1.7,-4.9,6,6.2,-0.8,False
6bba_e5e44988,6bba,8,9,5.2,-0.1,5.1,-0.5,9,6.0,-1.6,False
6bba_d82a4fc6,6bba,39,40,5.2,5.2,0.0,-0.0,4,4.9,4.9,False
6bba_f1fde7e0,6bba,17,18,5.2,-1.5,-1.4,-4.8,2,5.3,-1.6,False
44b6_c15fded2,44b6,17,18,5.1,-0.1,-5.1,-0.4,0,,,False
44b6_f28707c6,44b6,25,26,5.1,-4.1,-0.4,3.0,1,4.4,-3.2,False
6bba_0c7fa718,6bba,53,54,5.1,0.4,-1.2,-4.9,4,4.1,0.0,False
6bba_0c7fa718,6bba,74,75,5.1,0.1,-1.7,-4.8,9,3.7,0.0,False
6bba_09961292,6bba,39,40,5.1,5.1,0.3,-0.1,15,4.9,4.9,False
6bba_337b1b3a,6bba,6,7,5.1,-0.4,4.2,3.0,0,,,False
6bba_3db54e20,6bba,37,38,5.1,-0.2,5.1,0.3,0,,,False
6bba_6479435d,6bba,47,48,5.1,-5.1,-0.2,0.1,0,,,False
6bba_6ca87370,6bba,39,40,5.1,0.0,5.1,0.2,9,4.5,0.0,False
6bba_6db0e9b4,6bba,80,81,5.1,5.1,-0.0,0.0,3,5.0,4.9,False
6bba_825bd1c6,6bba,54,55,5.1,0.2,4.9,1.6,13,4.4,1.6,False
6bba_b693381b,6bba,1,2,5.1,0.4,-1.7,-4.9,1,5.0,1.6,False
6bba_cdcfe533,6bba,4,5,5.1,-0.2,5.1,0.4,0,,,False
44b6_3a861e03,44b6,36,37,5.0,-0.0,-4.5,2.0,10,5.0,0.0,False
6bba_0c7fa718,6bba,21,22,5.0,0.2,-0.7,-4.9,5,5.2,1.6,False
6bba_0c7fa718,6bba,25,26,5.0,0.6,-0.9,-4.8,3,4.9,1.6,False
6bba_0c7fa718,6bba,28,29,5.0,0.1,-0.6,-5.0,0,,,False
6bba_0c7fa718,6bba,44,45,5.0,0.4,-0.4,-5.0,10,5.1,0.8,False
6bba_207c6aaf,6bba,33,34,5.0,-0.2,-0.1,-5.0,6,4.5,-1.6,False
6bba_2819ca14,6bba,67,68,5.0,-5.0,0.4,-0.1,14,5.3,-4.9,False
6bba_337b1b3a,6bba,11,12,5.0,-0.5,4.8,1.5,0,,,False
6bba_337b1b3a,6bba,12,13,5.0,-0.5,4.2,2.7,0,,,False
6bba_337b1b3a,6bba,23,24,5.0,0.2,5.0,0.7,1,5.7,0.0,False
6bba_57b7cc1e,6bba,94,95,5.0,5.0,0.0,0.2,10,4.1,4.1,False
6bba_67ebd073,6bba,35,36,5.0,-5.0,0.0,-0.1,5,4.9,-4.9,False
6bba_6479435d,6bba,48,49,5.0,-5.0,-0.1,0.1,1,4.9,-4.9,False
6bba_6feeb0b1,6bba,26,27,5.0,-0.2,4.9,0.6,11,5.3,0.0,False
6bba_7f87b3d8,6bba,7,8,5.0,-1.8,-1.4,-4.4,9,4.5,-1.6,False
6bba_b693381b,6bba,13,14,5.0,0.3,-1.0,-4.9,13,5.7,1.6,False
6bba_b693381b,6bba,42,43,5.0,0.2,-3.1,-3.9,13,4.9,1.6,False
6bba_cdcfe533,6bba,2,3,5.0,-0.2,4.9,0.7,0,,,False
6bba_f1fde7e0,6bba,11,12,5.0,-0.5,-0.3,-4.9,2,6.4,-0.8,False
6bba_f1fde7e0,6bba,21,22,5.0,-0.5,-1.2,-4.8,2,3.2,-0.8,False
6bba_fe670320,6bba,25,26,5.0,0.1,5.0,0.2,12,5.0,0.0,False
6bba_fe670320,6bba,42,43,5.0,-0.1,5.0,-0.0,3,6.5,0.0,False
44b6_0db75fae,44b6,23,24,4.9,-0.3,0.8,4.8,1,4.8,-1.6,False
44b6_587a1e22,44b6,24,25,4.9,-0.8,-0.9,4.7,4,6.0,-3.2,False
44b6_d754aa59,44b6,39,40,4.9,0.0,4.9,-0.4,1,5.7,0.0,True
44b6_e29f0176,44b6,42,43,4.9,2.9,2.1,-3.4,1,5.6,3.2,False
44b6_f28707c6,44b6,53,54,4.9,0.1,-4.9,-0.3,1,5.2,1.6,False
6bba_062c8d37,6bba,13,14,4.9,0.5,-0.8,-4.8,10,5.7,3.2,False
6bba_0c7fa718,6bba,12,13,4.9,0.6,-3.2,-3.7,13,5.4,1.6,False
6bba_1d0d8384,6bba,43,44,4.9,-0.1,4.9,0.4,12,4.2,-0.8,False
6bba_1d0d8384,6bba,91,92,4.9,0.1,4.9,0.2,10,4.5,0.0,False
6bba_15403b9a,6bba,1,2,4.9,0.1,-0.4,-4.9,5,4.5,0.0,False
6bba_337b1b3a,6bba,15,16,4.9,0.3,4.7,1.4,0,,,False
6bba_337b1b3a,6bba,16,17,4.9,0.0,4.9,0.6,0,,,False
6bba_337b1b3a,6bba,24,25,4.9,0.1,4.8,0.9,3,4.1,0.0,False
6bba_3db54e20,6bba,27,28,4.9,0.0,4.8,0.5,5,4.5,0.0,False
6bba_48816121,6bba,97,98,4.9,0.0,0.7,-4.9,8,4.9,0.0,False
6bba_5a4d9360,6bba,20,21,4.9,-2.7,3.2,-2.6,6,5.0,-3.2,False
6bba_767a1e17,6bba,16,17,4.9,0.4,0.3,4.9,0,,,False
6bba_789f8168,6bba,33,34,4.9,-0.2,-0.8,-4.8,8,5.0,0.0,False
6bba_789f8168,6bba,42,43,4.9,0.1,-1.7,-4.6,4,5.3,0.8,False
6bba_7f87b3d8,6bba,61,62,4.9,-1.0,-4.8,-0.3,12,6.3,-3.2,False
6bba_825bd1c6,6bba,36,37,4.9,-0.0,4.9,0.2,9,3.7,0.0,False
6bba_a5e926bb,6bba,50,51,4.9,-3.5,-0.3,-3.4,8,4.9,-3.2,False
6bba_cf35214c,6bba,93,94,4.9,0.2,-3.1,3.8,9,5.2,1.6,True
6bba_f17befbc,6bba,64,65,4.9,-0.1,-0.1,4.9,11,4.5,0.0,False
6bba_f1fde7e0,6bba,14,15,4.9,-1.0,-0.3,-4.8,1,5.9,-1.6,False
44b6_0b24845f,44b6,10,11,4.8,-0.4,4.8,0.3,0,,,False
44b6_33b596bf,44b6,11,12,4.8,0.2,-4.8,-0.6,0,,,False
44b6_587a1e22,44b6,41,42,4.8,-1.4,0.1,-4.5,5,5.9,-3.2,False
44b6_d754aa59,44b6,18,19,4.8,0.1,4.8,-0.7,0,,,True
44b6_d754aa59,44b6,19,20,4.8,0.3,4.8,0.2,1,4.5,0.0,True
44b6_f28707c6,44b6,54,55,4.8,0.4,-4.7,-0.5,1,6.6,3.2,False
6bba_0c7fa718,6bba,30,31,4.8,0.5,-1.1,-4.6,0,,,False
6bba_0e7c0d07,6bba,92,93,4.8,-0.1,1.5,4.6,0,,,False
6bba_12665c0e,6bba,78,79,4.8,-0.4,-0.1,-4.8,4,5.8,-2.4,False
6bba_1ebfb80d,6bba,18,19,4.8,0.0,4.8,-0.2,5,3.9,0.0,False
6bba_1ebfb80d,6bba,83,84,4.8,-0.1,0.1,-4.8,5,5.2,-1.6,False
6bba_3abfe10a,6bba,40,41,4.8,0.4,4.8,0.6,2,5.3,2.4,True
6bba_3db54e20,6bba,88,89,4.8,-0.2,4.7,0.8,6,5.1,-0.8,False
6bba_67ebd073,6bba,33,34,4.8,-4.8,0.1,-0.5,5,6.6,-6.5,False
6bba_6db0e9b4,6bba,3,4,4.8,-0.7,4.7,0.1,0,,,False
6bba_6feeb0b1,6bba,87,88,4.8,-0.2,4.8,0.1,15,3.3,0.0,False
6bba_6feeb0b1,6bba,95,96,4.8,-0.4,4.7,-0.7,16,2.8,0.0,False
6bba_767a1e17,6bba,65,66,4.8,3.1,1.7,3.2,2,6.1,4.9,False
6bba_78a7bd97,6bba,72,73,4.8,-0.1,3.4,3.4,14,4.7,0.0,False
6bba_87289e13,6bba,13,14,4.8,-3.1,-1.7,-3.3,4,5.3,-3.2,False
6bba_cdcfe533,6bba,27,28,4.8,0.1,4.8,-0.0,5,4.9,0.0,False
6bba_d2b9fc0c,6bba,63,64,4.8,-2.5,-3.2,-2.7,9,3.5,-1.6,False
6bba_cff5865f,6bba,93,94,4.8,-0.3,-0.1,-4.8,19,4.9,0.0,False
6bba_d3da753b,6bba,61,62,4.8,-0.9,0.4,-4.7,10,4.8,-1.6,False
44b6_95029e92,44b6,11,12,4.7,0.1,4.7,-0.6,2,5.6,-0.8,False
44b6_c15fded2,44b6,20,21,4.7,0.3,-4.7,-0.5,0,,,False
44b6_cf8fed6b,44b6,41,42,4.7,-0.0,4.7,0.6,2,4.5,0.0,False
44b6_cf8fed6b,44b6,88,89,4.7,-2.9,0.1,-3.7,2,4.5,-3.2,False
44b6_d754aa59,44b6,45,46,4.7,-0.3,4.7,0.3,1,4.8,-1.6,True
44b6_e29f0176,44b6,44,45,4.7,0.3,1.9,-4.3,1,5.7,1.6,False
6bba_0e7c0d07,6bba,84,85,4.7,0.1,3.1,3.5,2,4.8,-0.8,False
6bba_1d0d8384,6bba,31,32,4.7,0.2,4.7,0.4,14,4.4,0.0,False
6bba_337b1b3a,6bba,3,4,4.7,-0.3,3.9,2.5,0,,,False
6bba_3db54e20,6bba,26,27,4.7,-0.1,4.7,0.7,5,4.8,-1.6,False
6bba_5a4d9360,6bba,8,9,4.7,-0.3,1.8,-4.4,5,4.7,-1.6,False
6bba_6479435d,6bba,49,50,4.7,-4.7,-0.0,0.1,1,6.7,-6.5,False
6bba_6ca87370,6bba,7,8,4.7,-0.1,4.7,-0.5,4,4.0,0.0,False
6bba_6feeb0b1,6bba,58,59,4.7,-0.7,4.6,-0.3,13,3.7,-1.6,False
6bba_789f8168,6bba,89,90,4.7,0.0,-3.3,-3.4,2,5.4,1.6,False
6bba_a5e926bb,6bba,35,36,4.7,-3.5,0.1,-3.2,11,4.3,-3.2,False
6bba_a5e926bb,6bba,37,38,4.7,-3.8,0.1,-2.9,12,4.1,-3.2,False
6bba_a5e926bb,6bba,60,61,4.7,-3.3,-1.2,-3.2,2,5.1,-4.1,False
6bba_ae82a791,6bba,91,92,4.7,-4.7,0.2,0.1,13,4.9,-4.9,False
6bba_b693381b,6bba,19,20,4.7,0.4,-1.4,-4.5,9,5.1,0.0,False
6bba_cdcfe533,6bba,9,10,4.7,-0.4,4.7,0.3,0,,,False
6bba_cdcfe533,6bba,11,12,4.7,-0.3,4.6,0.4,0,,,False
6bba_cdcfe533,6bba,13,14,4.7,-0.2,4.6,0.8,0,,,False
6bba_cdcfe533,6bba,14,15,4.7,-0.3,4.7,0.2,0,,,False
6bba_d2b9fc0c,6bba,67,68,4.7,-2.3,-2.7,-3.0,9,2.8,-1.6,False
6bba_eebc57a5,6bba,59,60,4.7,0.1,4.7,0.4,11,2.6,0.0,False
6bba_fc516dc6,6bba,60,61,4.7,-3.2,3.4,-0.2,9,5.9,-4.9,False
44b6_267148e4,44b6,39,40,4.6,-0.5,-0.6,-4.5,3,4.4,-1.6,False
44b6_587a1e22,44b6,50,51,4.6,-0.1,1.2,-4.4,6,4.1,0.0,False
44b6_c15fded2,44b6,8,9,4.6,-0.2,-4.4,-1.3,0,,,False
6bba_0c7fa718,6bba,32,33,4.6,0.1,-1.1,-4.5,0,,,False
6bba_0c7fa718,6bba,71,72,4.6,0.4,-1.8,-4.2,9,4.4,0.0,False
6bba_15403b9a,6bba,15,16,4.6,-0.9,0.2,-4.5,10,3.7,0.0,False
6bba_3abfe10a,6bba,52,53,4.6,0.1,3.5,2.9,9,4.0,1.6,True
6bba_3db54e20,6bba,29,30,4.6,0.1,4.6,0.4,5,4.8,0.0,False
6bba_5a4d9360,6bba,12,13,4.6,-0.1,2.0,-4.2,6,4.1,-1.6,False
6bba_5c824876,6bba,96,97,4.6,0.2,-0.9,4.5,4,6.0,2.4,True
6bba_767a1e17,6bba,38,39,4.6,0.2,2.2,4.1,0,,,False
6bba_767a1e17,6bba,39,40,4.6,0.3,1.5,4.4,0,,,False
6bba_78a7bd97,6bba,60,61,4.6,0.2,4.5,0.9,7,4.9,1.6,False
6bba_87289e13,6bba,11,12,4.6,-2.5,-2.1,-3.2,3,4.9,-3.2,False
6bba_a5e926bb,6bba,64,65,4.6,-3.5,-0.6,-3.0,2,3.8,-1.6,False
6bba_acd782a8,6bba,89,90,4.6,-0.7,1.4,-4.4,10,5.3,-3.2,False
6bba_af149c94,6bba,7,8,4.6,-4.6,0.1,-0.3,13,5.0,-4.9,False
6bba_e5e44988,6bba,44,45,4.6,-0.3,4.4,-1.3,7,4.9,-1.6,False
6bba_debd7bfa,6bba,59,60,4.6,-3.1,-0.3,-3.5,1,4.5,-3.2,False
6bba_eebc57a5,6bba,77,78,4.6,0.1,4.6,0.4,10,3.1,0.0,False
44b6_341df25f,44b6,14,15,4.5,-0.1,4.4,-0.9,1,6.0,-1.6,False
44b6_33b596bf,44b6,10,11,4.5,-0.3,-4.5,-0.1,0,,,False
6bba_15403b9a,6bba,32,33,4.5,-0.3,0.4,-4.5,10,4.7,-0.8,False
6bba_337b1b3a,6bba,13,14,4.5,0.2,4.1,1.8,0,,,False
6bba_337b1b3a,6bba,18,19,4.5,0.2,4.4,0.6,0,,,False
6bba_3db54e20,6bba,24,25,4.5,-0.0,4.5,0.4,4,4.3,0.0,False
6bba_3db54e20,6bba,62,63,4.5,-0.2,4.5,0.5,1,4.8,-1.6,False
6bba_5c824876,6bba,94,95,4.5,0.1,-2.6,3.7,5,5.5,0.0,True
6bba_6479435d,6bba,73,74,4.5,-4.5,-0.1,-0.1,3,4.9,-4.9,False
6bba_6ca87370,6bba,28,29,4.5,0.1,4.5,-0.2,7,2.4,0.0,False
6bba_767a1e17,6bba,20,21,4.5,0.2,0.3,4.5,0,,,False
6bba_767a1e17,6bba,28,29,4.5,0.2,0.4,4.5,0,,,False
6bba_767a1e17,6bba,36,37,4.5,0.3,1.4,4.3,0,,,False
6bba_767a1e17,6bba,41,42,4.5,0.4,2.2,3.9,0,,,False
6bba_789f8168,6bba,87,88,4.5,0.0,-3.0,-3.4,3,4.3,1.6,False
6bba_7f87b3d8,6bba,16,17,4.5,-2.8,-1.0,-3.4,2,4.8,-3.2,False
6bba_825bd1c6,6bba,90,91,4.5,0.3,3.8,-2.4,15,3.6,1.6,False
6bba_87289e13,6bba,18,19,4.5,-3.1,-1.5,-2.8,6,5.5,-4.1,False
6bba_cdcfe533,6bba,15,16,4.5,-0.7,4.5,0.2,0,,,False
6bba_d2b9fc0c,6bba,93,94,4.5,-0.4,-4.5,0.1,11,4.9,0.0,False
6bba_cff5865f,6bba,91,92,4.5,-0.1,-0.4,-4.5,18,4.8,-0.8,False
6bba_e5e44988,6bba,42,43,4.5,-0.2,4.4,-0.7,8,4.6,-1.6,False
6bba_debd7bfa,6bba,56,57,4.5,-3.3,-0.3,-3.0,2,4.2,-3.2,False
6bba_debd7bfa,6bba,60,61,4.5,-3.0,-0.1,-3.3,1,2.7,-1.6,False
44b6_0db75fae,44b6,11,12,4.4,-0.5,-0.1,-4.4,1,3.7,-1.6,False
44b6_0db75fae,44b6,15,16,4.4,0.2,-4.4,-0.3,1,4.6,3.2,False
44b6_267148e4,44b6,36,37,4.4,-0.3,3.2,3.0,3,4.3,0.0,False
44b6_587a1e22,44b6,59,60,4.4,0.3,3.5,-2.8,5,5.9,3.2,False
44b6_d29c9ab2,44b6,48,49,4.4,0.2,-3.1,3.1,14,4.6,0.0,False
44b6_d754aa59,44b6,0,1,4.4,0.1,4.4,0.7,0,,,True
44b6_e29f0176,44b6,3,4,4.4,0.4,3.4,-2.8,0,,,False
6bba_0e7c0d07,6bba,37,38,4.4,0.3,2.2,3.8,1,3.6,1.6,False
6bba_12665c0e,6bba,71,72,4.4,-0.5,-0.1,-4.3,4,6.2,-2.4,False
6bba_15403b9a,6bba,19,20,4.4,-0.5,0.5,-4.4,9,3.7,-1.6,False
6bba_1ebfb80d,6bba,41,42,4.4,0.0,4.4,-0.8,11,4.3,0.0,False
6bba_2540cd90,6bba,9,10,4.4,4.4,0.0,0.1,6,4.5,3.2,False
6bba_2540cd90,6bba,19,20,4.4,-4.4,-0.0,-0.0,6,3.4,-3.2,False
6bba_337b1b3a,6bba,21,22,4.4,0.4,4.3,0.2,1,4.4,1.6,False
6bba_337b1b3a,6bba,25,26,4.4,0.1,4.3,0.5,3,5.3,0.0,False
6bba_337b1b3a,6bba,27,28,4.4,0.6,4.1,1.6,5,5.2,1.6,False
6bba_3abfe10a,6bba,9,10,4.4,0.1,0.6,4.4,0,,,True
6bba_3db54e20,6bba,25,26,4.4,-0.0,4.4,0.4,4,4.5,0.0,False
6bba_767a1e17,6bba,25,26,4.4,0.3,0.6,4.4,0,,,False
6bba_767a1e17,6bba,40,41,4.4,0.2,1.5,4.1,0,,,False
6bba_a5e926bb,6bba,57,58,4.4,-3.2,-0.4,-3.1,3,4.4,-3.2,False
6bba_a5e926bb,6bba,58,59,4.4,-2.7,-1.6,-3.2,2,3.9,-1.6,False
6bba_b1ae37b9,6bba,16,17,4.4,-0.0,4.1,1.6,12,4.1,0.0,False
6bba_cdcfe533,6bba,65,66,4.4,1.7,-3.1,-2.7,19,4.4,1.6,False
6bba_cdcfe533,6bba,67,68,4.4,2.4,-3.1,-2.0,16,4.6,2.4,False
6bba_d3da753b,6bba,60,61,4.4,-2.4,0.3,-3.6,11,4.6,-3.2,False
6bba_f20478e9,6bba,74,75,4.4,-0.2,-4.4,0.1,11,3.7,0.0,False
6bba_fc5f39dc,6bba,87,88,4.4,-0.3,0.8,-4.3,6,4.1,-1.6,False
44b6_a21120c2,44b6,7,8,4.3,-0.4,0.2,-4.2,4,4.4,-2.4,False
44b6_d754aa59,44b6,75,76,4.3,-0.1,4.3,-0.4,0,,,True
44b6_f28707c6,44b6,21,22,4.3,0.1,-4.3,-0.1,1,4.9,0.0,False
6bba_0e7c0d07,6bba,61,62,4.3,0.3,3.0,3.1,2,3.6,0.8,False
6bba_337b1b3a,6bba,14,15,4.3,0.1,4.2,0.8,0,,,False
6bba_767a1e17,6bba,15,16,4.3,0.3,0.4,4.3,0,,,False
6bba_767a1e17,6bba,84,85,4.3,0.4,3.2,2.8,23,4.7,3.2,False
6bba_7f87b3d8,6bba,78,79,4.3,-0.3,-4.3,-0.0,7,4.0,0.0,False
6bba_afb141ff,6bba,6,7,4.3,-4.3,0.1,-0.2,3,3.2,-3.2,True
6bba_c328f2fd,6bba,7,8,4.3,-0.3,-4.2,-0.3,2,5.3,-1.6,True
6bba_cdcfe533,6bba,20,21,4.3,-0.1,4.3,-0.1,1,4.1,0.0,False
6bba_d2b9fc0c,6bba,60,61,4.3,-2.9,-1.7,-2.7,9,1.9,-1.6,False
6bba_eebc57a5,6bba,71,72,4.3,-0.4,4.3,-0.1,11,3.7,-1.6,False
6bba_f20478e9,6bba,58,59,4.3,0.0,-4.3,-0.4,8,4.7,0.0,False
44b6_587a1e22,44b6,62,63,4.2,-0.0,-0.1,4.2,5,4.8,-1.6,False
6bba_05db0fb1,6bba,10,11,4.2,-0.4,0.2,4.1,9,2.7,-1.6,False
6bba_0e7c0d07,6bba,64,65,4.2,0.3,2.9,3.0,2,5.2,0.0,False
6bba_0e7c0d07,6bba,93,94,4.2,-0.0,2.4,3.4,0,,,False
6bba_337b1b3a,6bba,20,21,4.2,0.4,4.1,0.4,1,5.1,0.0,False
6bba_3db54e20,6bba,28,29,4.2,0.2,4.2,0.4,5,3.2,0.0,False
6bba_3db54e20,6bba,61,62,4.2,-0.3,3.9,1.7,1,5.0,-3.2,False
6bba_6479435d,6bba,45,46,4.2,-4.2,-0.0,0.1,0,,,False
6bba_6ca87370,6bba,19,20,4.2,0.1,4.2,-0.1,6,2.6,0.0,False
6bba_767a1e17,6bba,12,13,4.2,0.3,0.5,4.1,0,,,False
6bba_767a1e17,6bba,37,38,4.2,0.4,1.8,3.8,0,,,False
6bba_767a1e17,6bba,42,43,4.2,0.4,2.4,3.4,0,,,False
6bba_767a1e17,6bba,51,52,4.2,0.3,3.0,3.0,0,,,False
6bba_971fa5e0,6bba,5,6,4.2,-0.3,0.0,-4.2,7,3.3,0.0,False
6bba_acd782a8,6bba,30,31,4.2,-0.2,0.0,-4.2,3,4.1,-3.2,False
6bba_b693381b,6bba,38,39,4.2,0.1,-2.2,-3.6,15,4.6,1.6,False
6bba_cdcfe533,6bba,22,23,4.2,0.1,4.2,0.0,4,3.9,0.0,False
6bba_cdcfe533,6bba,24,25,4.2,0.2,4.1,-0.2,5,4.1,1.6,False
6bba_d2b9fc0c,6bba,64,65,4.2,-1.8,-3.4,-1.7,9,3.7,-1.6,False
6bba_d3da753b,6bba,7,8,4.2,-0.2,-0.4,-4.2,3,5.3,-1.6,False
6bba_d3da753b,6bba,65,66,4.2,-0.6,0.1,-4.1,9,4.0,-1.6,False
44b6_0113de3b,44b6,45,46,4.1,1.0,-3.0,2.6,1,6.7,4.9,False
44b6_95029e92,44b6,9,10,4.1,-0.3,4.0,-0.9,2,4.9,-3.2,False
44b6_c15fded2,44b6,19,20,4.1,0.2,-4.1,-0.2,0,,,False
44b6_c8e2a523,44b6,0,1,4.1,0.4,-3.2,2.5,2,5.0,0.0,False
6bba_0c7fa718,6bba,72,73,4.1,0.5,-1.6,-3.7,10,3.4,1.6,False
6bba_0e7c0d07,6bba,78,79,4.1,0.1,2.8,3.0,2,4.4,-0.8,False
6bba_15403b9a,6bba,3,4,4.1,-0.3,0.2,-4.1,7,3.5,0.0,False
6bba_15403b9a,6bba,50,51,4.1,-0.7,1.7,-3.7,5,5.0,-1.6,False
6bba_48816121,6bba,90,91,4.1,0.0,0.2,-4.1,10,4.1,0.0,False
6bba_767a1e17,6bba,23,24,4.1,0.2,0.7,4.1,0,,,False
6bba_767a1e17,6bba,27,28,4.1,0.2,1.3,3.9,0,,,False
6bba_767a1e17,6bba,44,45,4.1,0.2,0.6,4.1,0,,,False
6bba_825bd1c6,6bba,61,62,4.1,0.2,4.1,0.3,14,3.8,1.6,False
6bba_a5e926bb,6bba,12,13,4.1,-2.5,-1.2,-3.1,6,4.0,-3.2,False
6bba_a5e926bb,6bba,56,57,4.1,-2.6,-0.1,-3.2,3,3.7,-1.6,False
6bba_acd782a8,6bba,77,78,4.1,-0.4,0.5,-4.0,2,4.3,-1.6,False
6bba_acd782a8,6bba,79,80,4.1,-0.4,0.2,-4.1,4,3.5,-1.6,False
6bba_cdcfe533,6bba,10,11,4.1,-0.3,4.1,0.4,0,,,False
6bba_cdcfe533,6bba,19,20,4.1,0.1,4.1,0.2,1,4.1,0.0,False
6bba_cdcfe533,6bba,28,29,4.1,-0.1,4.1,0.2,6,3.2,0.0,False
6bba_d3da753b,6bba,26,27,4.1,-0.3,-0.3,-4.0,7,4.8,-1.6,False
6bba_d3da753b,6bba,30,31,4.1,-0.5,-0.1,-4.0,8,4.4,-1.6,False
6bba_e5e44988,6bba,59,60,4.1,-0.3,4.1,-0.1,7,5.5,-3.2,False
6bba_f1fde7e0,6bba,16,17,4.1,-0.4,-1.4,-3.9,2,3.3,-0.8,False
44b6_0113de3b,44b6,49,50,4.0,-0.0,1.5,3.7,1,4.1,-1.6,False
44b6_267148e4,44b6,76,77,4.0,-0.1,3.5,1.9,3,4.4,0.0,False
44b6_a21120c2,44b6,40,41,4.0,0.4,-3.9,0.3,3,5.0,3.2,False
44b6_cf8fed6b,44b6,55,56,4.0,-0.1,-1.4,3.7,2,3.5,0.0,False
44b6_d754aa59,44b6,58,59,4.0,-0.3,3.6,1.7,1,5.0,-1.6,True
44b6_f28707c6,44b6,19,20,4.0,0.3,-3.9,-1.1,1,4.2,1.6,False
6bba_0c7fa718,6bba,34,35,4.0,0.7,-1.5,-3.6,0,,,False
6bba_0e7c0d07,6bba,72,73,4.0,-0.0,2.6,3.1,2,5.7,2.4,False
6bba_1ebfb80d,6bba,22,23,4.0,0.1,4.0,-0.1,6,3.7,0.0,False
6bba_767a1e17,6bba,24,25,4.0,0.2,0.4,4.0,0,,,False
6bba_767a1e17,6bba,59,60,4.0,3.2,1.6,1.7,2,3.3,2.4,False
6bba_789f8168,6bba,35,36,4.0,0.2,-1.4,-3.8,8,4.6,0.0,False
6bba_825bd1c6,6bba,85,86,4.0,0.1,3.9,-0.5,14,3.0,0.0,False
6bba_a5e926bb,6bba,21,22,4.0,-2.6,-0.4,-3.0,7,3.0,-1.6,False
6bba_acd782a8,6bba,94,95,4.0,-0.4,0.2,-4.0,11,3.6,-1.6,False
6bba_c328f2fd,6bba,10,11,4.0,-0.1,-4.0,0.2,2,5.5,-1.6,True
6bba_cdcfe533,6bba,8,9,4.0,-0.3,3.9,0.6,0,,,False
6bba_fe670320,6bba,34,35,4.0,0.1,4.0,-0.4,8,4.3,0.0,False
44b6_0db75fae,44b6,18,19,3.9,-0.3,1.9,3.4,1,3.8,-1.6,False
44b6_33b596bf,44b6,42,43,3.9,-0.5,-3.7,-1.1,1,6.0,0.0,False
44b6_87bba6c4,44b6,49,50,3.9,-0.1,-3.9,-0.2,3,3.9,0.0,False
44b6_c8e2a523,44b6,4,5,3.9,-0.1,1.2,3.7,3,2.6,-1.6,False
44b6_d754aa59,44b6,46,47,3.9,-0.3,-3.5,-1.7,1,4.8,-1.6,True
44b6_e29f0176,44b6,20,21,3.9,0.4,0.2,-3.9,0,,,False
44b6_e29f0176,44b6,60,61,3.9,0.4,3.1,-2.4,1,4.4,1.6,False
44b6_e57ff5c6,44b6,21,22,3.9,-0.2,3.9,-0.1,2,6.0,-4.1,True
6bba_15403b9a,6bba,62,63,3.9,-1.4,3.2,-1.6,4,4.5,-0.8,False
6bba_1ebfb80d,6bba,36,37,3.9,-0.0,3.8,-1.1,8,4.2,0.8,False
6bba_337b1b3a,6bba,26,27,3.9,0.0,3.9,0.5,4,3.3,0.0,False
6bba_3abfe10a,6bba,3,4,3.9,0.1,0.5,3.9,0,,,True
6bba_3db54e20,6bba,30,31,3.9,0.1,3.8,0.6,5,3.9,0.0,False
6bba_3db54e20,6bba,39,40,3.9,-0.1,3.8,0.5,2,4.4,-1.6,False
6bba_3db54e20,6bba,84,85,3.9,-0.2,3.8,0.8,8,4.2,-1.6,False
6bba_5a4d9360,6bba,10,11,3.9,-0.4,1.5,-3.5,6,4.4,-1.6,False
6bba_6ca87370,6bba,12,13,3.9,-0.2,3.9,-0.1,4,4.1,0.0,False
6bba_767a1e17,6bba,26,27,3.9,0.3,0.7,3.9,0,,,False
6bba_767a1e17,6bba,29,30,3.9,0.3,0.5,3.8,0,,,False
6bba_789f8168,6bba,44,45,3.9,-0.2,-1.7,-3.5,5,4.2,0.0,False
6bba_7f87b3d8,6bba,11,12,3.9,-0.5,-0.5,-3.8,5,4.4,-1.6,False
6bba_87289e13,6bba,9,10,3.9,-1.3,-1.4,-3.3,2,5.0,-2.4,False
6bba_acd782a8,6bba,81,82,3.9,-0.4,0.2,-3.8,4,4.6,-2.4,False
6bba_b693381b,6bba,0,1,3.9,0.5,-1.5,-3.5,1,3.8,1.6,False
6bba_cdcfe533,6bba,6,7,3.9,-0.7,3.8,0.2,0,,,False
6bba_cdcfe533,6bba,16,17,3.9,-0.5,3.9,0.4,0,,,False
6bba_cdcfe533,6bba,29,30,3.9,-0.2,3.9,0.0,7,4.1,0.0,False
